Customer_ID,Age,Gender,Nationality,City,City_Tier,Marital_Status,Education,Employment_Status,Monthly_Income_AED,Has_Credit_Card,Has_Loyalty_Card,Shopping_Frequency,Preferred_Channel,Preferred_Category,Avg_Monthly_Purchases,Avg_Basket_Size_AED,Returns_Per_Year,Discount_Seeker,Social_Media_Hours_Daily,Primary_Social_Platform,Responds_To_Influencer_Ads,Clicks_Email_Campaigns,App_Sessions_Per_Week,Last_Online_Purchase_Days,Brand_Loyalty_Score,NPS_Score,Customer_Tenure_Months,Support_Tickets_Last_Year,Referrals_Made,Shops_During_Ramadan,Shops_During_DSF,Prefers_Arabic_Content,Uses_Buy_Now_Pay_Later,Will_Buy,Max_Spend,Customer_Lifetime_Value_AED,Churn_Risk_Score,Device_Type,Preferred_Payment
UAE00001,56,Female,Indian,Sharjah,Tier 2,Married,Bachelors,Employed Full-Time,4504,0,0,Daily,Both,Food and Dining,8,2887,1,1,6.2,Facebook,0,1,15,55,5,8,27,6,0,1,0,1,0,0,5222,93996,36.0,Mobile,BNPL
UAE00002,46,Male,Indian,Dubai,Tier 1,Married,Diploma,Employed Full-Time,11467,1,1,Weekly,In-Store,Food and Dining,11,1925,4,0,7.2,Snapchat,0,0,23,61,3,4,64,2,9,1,0,0,0,1,6210,364320,23.4,Mobile,Digital Wallet
UAE00003,32,Male,Pakistani,Dubai,Tier 1,Married,Masters,Employed Full-Time,31756,1,1,Bi-Weekly,Both,Sports,11,2436,2,1,3.0,Twitter X,1,1,4,101,2,6,45,4,7,1,0,0,1,0,12218,503992,61.3,Mobile,Cash on Delivery
UAE00004,60,Female,Indian,Dubai,Tier 1,Married,Bachelors,Self-Employed,12484,1,1,Bi-Weekly,Online,Travel,8,1741,2,1,4.5,LinkedIn,1,1,27,152,10,10,67,6,4,1,1,1,0,1,5952,265856,13.8,Mobile,Credit Card
UAE00005,25,Male,Pakistani,Dubai,Tier 1,Married,High School,Employed Full-Time,15842,0,0,Bi-Weekly,In-Store,Sports,1,1891,4,1,5.4,Instagram,1,0,9,147,9,1,26,0,8,1,0,1,0,0,6304,13658,9.5,Desktop,Credit Card
UAE00006,38,Female,Other,Abu Dhabi,Tier 1,Single,Masters,Employed Full-Time,34275,0,0,Monthly,In-Store,Fashion,2,1252,8,1,3.0,TikTok,1,0,8,24,4,0,99,2,2,0,1,0,0,1,6624,109296,29.2,Tablet,Digital Wallet
UAE00007,56,Female,Jordanian,Ajman,Tier 3,Married,Masters,Employed Part-Time,33234,1,1,Monthly,Online,Fashion,4,1320,1,1,7.9,Snapchat,0,1,21,54,10,1,13,2,1,0,1,0,1,1,11622,50362,0.0,Mobile,Debit Card
UAE00008,36,Male,Egyptian,Dubai,Tier 1,Single,Masters,Employed Full-Time,24605,1,1,Weekly,Both,Electronics,2,1053,8,1,7.1,YouTube,0,0,29,149,6,3,81,0,7,1,1,0,0,1,4480,60480,9.7,Tablet,BNPL
UAE00009,40,Male,Jordanian,Sharjah,Tier 2,Single,Bachelors,Unemployed,1040,0,0,Monthly,Online,Food and Dining,2,723,2,0,2.7,Facebook,1,1,23,81,9,5,30,6,4,1,1,0,0,0,2802,14010,5.8,Mobile,BNPL
UAE00010,28,Male,Lebanese,Abu Dhabi,Tier 1,Married,High School,Employed Full-Time,17319,1,0,Daily,Online,Sports,13,1748,6,1,4.3,LinkedIn,0,1,18,19,5,2,93,6,0,1,1,0,0,1,8226,828769,29.6,Mobile,BNPL
UAE00011,28,Female,Pakistani,Ajman,Tier 3,Single,Bachelors,Employed Part-Time,23179,1,1,Bi-Weekly,In-Store,Luxury,6,779,0,0,2.2,LinkedIn,0,0,28,178,7,1,78,7,5,1,1,1,0,1,7162,279318,23.5,Mobile,Cash on Delivery
UAE00012,41,Male,Indian,Dubai,Tier 1,Single,Masters,Employed Full-Time,23344,1,1,Rarely,Both,Groceries,4,366,0,1,4.4,Snapchat,0,1,2,151,5,6,30,2,2,0,1,0,0,1,9807,98070,41.8,Mobile,Cash on Delivery
